,#EventID,Time,Latitude,Longitude,Depth/km,Author,Catalog,Contributor,ContributorID,MagType,Magnitude,MagAuthor,EventLocationName,EventType
1270,gfz2025pwwd,2025-08-14T23:12:42.24,50.686,157.837,61.1,,,GFZ,gfz2025pwwd,mb,4.78,,Kuril Islands,
1271,gfz2025pwtm,2025-08-14T21:52:01.97,49.901,155.98,50.5,,,GFZ,gfz2025pwtm,Mw,5.06,,Kuril Islands,
1272,gfz2025pwrm,2025-08-14T20:51:11.11,-34.263,179.123,212.9,,,GFZ,gfz2025pwrm,mb,4.87,,South of Kermadec Islands,
1273,gfz2025pwpw,2025-08-14T20:02:16.44,50.155,158.717,10.0,,,GFZ,gfz2025pwpw,mb,4.64,,East of Kuril Islands,
1274,gfz2025pwph,2025-08-14T19:45:40.03,-2.014,138.933,10.0,,,GFZ,gfz2025pwph,mb,4.83,,"West Papua, Indonesia",
1275,gfz2025pwoq,2025-08-14T19:25:34.06,52.233,160.422,10.0,,,GFZ,gfz2025pwoq,mb,4.89,,Off East Coast of Kamchatka,
1276,gfz2025pwlw,2025-08-14T18:00:58.37,52.244,-170.265,10.0,,,GFZ,gfz2025pwlw,mb,5.46,,"Fox Islands, Aleutian Islands",
1277,gfz2025pwlv,2025-08-14T17:59:52.01,52.233,-170.152,10.0,,,GFZ,gfz2025pwlv,mb,4.91,,"Fox Islands, Aleutian Islands",
1278,gfz2025pwjk,2025-08-14T16:46:57.71,49.812,155.865,61.3,,,GFZ,gfz2025pwjk,mb,5.01,,Kuril Islands,
1279,gfz2025pwip,2025-08-14T16:22:32.69,-11.663,166.307,31.0,,,GFZ,gfz2025pwip,Mw,6.27,,Santa Cruz Islands,
1280,gfz2025pwid,2025-08-14T16:07:37.27,-57.473,-66.985,10.0,,,GFZ,gfz2025pwid,mb,4.74,,Drake Passage,
1281,gfz2025pwfy,2025-08-14T15:02:33.5,-29.572,-178.907,308.0,,,GFZ,gfz2025pwfy,mb,4.88,,"Kermadec Islands, New Zealand",
1282,gfz2025pvyw,2025-08-14T11:27:09.55,51.818,161.159,10.0,,,GFZ,gfz2025pvyw,mb,4.7,,Off East Coast of Kamchatka,
1283,gfz2025pvvr,2025-08-14T09:50:46.06,-16.029,-173.694,10.0,,,GFZ,gfz2025pvvr,mb,4.97,,Tonga Islands,
1284,gfz2025pvvp,2025-08-14T09:48:31.47,-31.5,-68.732,102.8,,,GFZ,gfz2025pvvp,mb,4.09,,"San Juan Province, Argentina",
1285,gfz2025pvuc,2025-08-14T09:03:27.25,52.793,159.802,37.3,,,GFZ,gfz2025pvuc,mb,4.75,,Off East Coast of Kamchatka,
1286,gfz2025pvqr,2025-08-14T07:19:36.17,51.263,157.65,58.6,,,GFZ,gfz2025pvqr,mb,4.66,,Near East Coast of Kamchatka,
1287,gfz2025pvpr,2025-08-14T06:48:13.84,-2.094,138.939,24.4,,,GFZ,gfz2025pvpr,Mw,4.79,,"West Papua, Indonesia",
1288,gfz2025pvob,2025-08-14T05:59:26.06,-17.928,-177.618,604.3,,,GFZ,gfz2025pvob,mb,4.6,,Fiji Islands Region,
1289,gfz2025pvlj,2025-08-14T04:38:17.67,-18.407,-172.616,25.0,,,GFZ,gfz2025pvlj,Mw,5.56,,Tonga Islands Region,
1290,gfz2025pvjt,2025-08-14T03:48:52.48,40.69,141.361,83.8,,,GFZ,gfz2025pvjt,mb,4.51,,"Near East Coast of Honshu, Japan",
1291,gfz2025pvfd,2025-08-14T01:29:50.97,63.2,-147.219,10.0,,,GFZ,gfz2025pvfd,mb,4.73,,Central Alaska,
1292,gfz2025pvap,2025-08-13T23:12:03.4,50.653,156.997,10.0,,,GFZ,gfz2025pvap,mb,4.61,,Kuril Islands,
1293,gfz2025puxi,2025-08-13T21:31:30.76,51.002,157.356,10.0,,,GFZ,gfz2025puxi,mb,4.75,,Near East Coast of Kamchatka,
1294,gfz2025puxg,2025-08-13T21:30:06.48,51.547,16.099,1.0,,,GFZ,gfz2025puxg,mb,4.52,,Poland,
1295,gfz2025pust,2025-08-13T19:13:39.12,36.471,141.06,49.5,,,GFZ,gfz2025pust,mb,5.1,,"Near East Coast of Honshu, Japan",
1296,gfz2025pupq,2025-08-13T17:39:13.72,36.258,26.821,134.0,,,GFZ,gfz2025pupq,mb,4.49,,"Dodecanese Islands, Greece",
